Date,Product,Quantity,Price,Total,Date
2024-10-12,Widget A,5,19.99,99.95,2024-10-12
2024-10-12,Gadget B,3,29.99,89.97,2024-10-12
2024-10-12,Widget A,2,19.99,39.98,2024-10-12
2024-10-12,Gadget B,1,29.99,29.99,2024-10-12
2024-10-12,Widget C,4,15.50,62.00,2024-10-12
2024-10-12,Gadget B,2,29.99,59.98,2024-10-12
2024-10-12,Widget A,3,19.99,59.97,2024-10-12
2024-10-12,Widget C,6,15.50,93.00,2024-10-12
2024-10-12,Gadget B,4,29.99,119.96,2024-10-12
2024-10-12,Widget C,2,15.50,31.00,2024-10-12
